Player,Team,GP,W,L,MIN,"Passes
Made","Passes
Received",AST,"Secondary
AST","Potential
AST","AST PTS
Created","AST
Adj",TOUCHES,"Avg Sec Per
Touch","Avg Drib Per
Touch"
Bogdan Bogdanovic,ATL,63,33,30,29.3,27.4,30.4,3.1,0.4,5,7.5,3.7,43,2.85,1.99
Clint Capela,ATL,74,40,34,27.6,28.7,16.5,1.2,0.2,2.1,3.2,1.5,38.8,1.35,0.26
Danilo Gallinari,ATL,66,35,31,25.3,27.4,23.4,1.5,0.2,2.9,3.8,1.8,39.2,2.45,1.09
De'Andre Hunter,ATL,53,28,25,29.8,18.1,22.5,1.3,0.1,2.2,3.4,1.5,32.5,2.21,1.31
John Collins,ATL,54,26,28,30.8,37.9,27.7,1.8,0.1,2.6,4.4,2.1,53.6,1.58,0.46
Kevin Huerter,ATL,74,40,34,29.6,27.1,28.5,2.7,0.4,4.7,6.8,3.3,39.8,2.7,1.8
Onyeka Okongwu,ATL,48,26,22,20.7,19.1,13.5,1.1,0.1,2.1,2.8,1.3,25.8,1.38,0.44
Trae Young,ATL,76,40,36,34.9,51.5,72.2,9.7,1,17.2,24.1,11.6,82.9,6.3,5.79
Bruce Brown,BKN,72,37,35,24.6,27.9,21.9,2.1,0.3,3.5,5.2,2.4,37.3,2.42,1.63
Kessler Edwards,BKN,48,22,26,20.6,18.2,11.9,0.6,0.1,1.1,1.7,0.8,25,1.54,0.69
Kevin Durant,BKN,55,36,19,37.2,43.7,57.3,6.4,0.8,10.8,15.8,7.8,73.2,3.6,2.51
Kyrie Irving,BKN,29,14,15,37.6,52.8,63.2,5.8,1,11.2,14.8,7.5,81,4.3,3.63
LaMarcus Aldridge,BKN,47,26,21,22.3,22.9,21.9,0.9,0.2,2,2.4,1.1,34.9,1.7,0.57
Nic Claxton,BKN,47,24,23,20.7,19.1,13.6,0.9,0.1,1.7,2.4,1.1,26.9,1.6,0.45
Patty Mills,BKN,81,44,37,29,25.5,30.2,2.3,0.3,3.8,5.5,2.7,37.4,2.67,2.43
Seth Curry,BKN,64,38,26,33.3,39.2,44.1,3.6,0.7,6.4,9.5,4.8,54.2,3.28,2.51
Al Horford,BOS,68,46,22,29,39.2,31,3.4,0.4,5.6,8.6,4.1,49.4,1.73,0.64
Daniel Theis,BOS,47,20,27,20.8,20.7,17.5,0.9,0.1,2.1,2.4,1.1,29,1.44,0.32
Derrick White,BOS,75,40,35,29.3,36.4,42,4.9,0.5,8.7,12.3,5.9,51.8,3.9,3.34
Grant Williams,BOS,76,49,27,24.5,20.1,16.3,1,0.2,2,2.6,1.2,27.5,1.59,0.56
Jaylen Brown,BOS,65,43,22,33.6,34.9,44.9,3.5,0.8,6.4,8.9,4.4,60.2,3.3,2.6
Jayson Tatum,BOS,75,49,26,35.9,45.7,52.8,4.3,0.9,8.7,11.3,5.5,73.8,3.78,2.76
Marcus Smart,BOS,70,47,23,32.4,49.9,52.5,5.9,0.6,10.2,14.7,6.8,65.2,3.68,3.04
Robert Williams III,BOS,60,40,20,29.5,27.8,19.9,2,0.1,3.5,5.3,2.3,35.7,1.26,0.28
Cody Martin,CHA,70,41,29,26.4,26.8,21.6,2.5,0.3,4.2,6.6,3,35.1,2.43,1.59
Gordon Hayward,CHA,48,26,22,31.9,37.4,37.6,3.6,0.5,6.8,9.9,4.5,54.7,2.77,1.83
Kelly Oubre Jr.,CHA,75,39,36,26.5,18.1,23.4,1.1,0.3,1.9,2.8,1.4,33.1,2,1.24
LaMelo Ball,CHA,74,39,35,32.3,63,69.3,7.5,1.1,13.4,19.3,9.5,86.9,4.24,3.77
Mason Plumlee,CHA,72,40,32,24.6,32.1,24.1,3.1,0.5,5.5,8,3.8,40.2,1.94,0.96
Miles Bridges,CHA,79,41,38,35.4,39.8,41.8,3.8,0.6,7.1,9.9,4.6,60.2,2.36,1.6
Montrezl Harrell,CHA,71,36,35,23.1,25.9,25.2,2,0.1,2.8,4.9,2.3,37.5,2.05,0.83
P.J. Washington,CHA,65,33,32,27.2,32.3,24.9,2.3,0.2,4.3,6.2,2.8,42.9,1.41,0.58
Terry Rozier,CHA,72,38,34,33.7,48.3,56.1,4.5,0.6,8.3,11.6,5.4,68.4,3.64,3.11
Alex Caruso,CHI,41,24,17,28,40.7,34.2,4,0.3,6.8,10.5,4.9,50.5,3.3,2.67
Ayo Dosunmu,CHI,77,42,35,27.4,31.8,31.1,3.3,0.4,6,8.3,4.1,41.4,3.67,3.29
Coby White,CHI,61,32,29,27.5,31.4,35.7,2.9,0.6,4.7,6.9,3.7,45.1,3.78,3.1
DeMar DeRozan,CHI,76,43,33,36.1,33.4,53.4,4.9,1,9.8,13,6.1,61.4,5.37,4.6
Javonte Green,CHI,65,38,27,23.4,20.2,12.4,0.9,0.1,1.7,2.3,1,26.8,1.23,0.39
Lonzo Ball,CHI,35,22,13,34.6,58.3,54.7,5.1,0.5,9.8,12.7,6.1,73.7,3.44,2.63
Nikola Vucevic,CHI,73,41,32,33.1,49.3,43.5,3.2,0.5,6,8.4,4,68.3,1.58,0.53
Zach LaVine,CHI,67,37,30,34.7,36.7,48.4,4.5,0.7,8.8,11.2,5.7,61.4,4.38,3.75
Caris LeVert,CLE,58,23,35,30.7,43.1,52.5,4.3,0.7,9.2,11.4,5.5,62.8,4.07,3.63
Cedi Osman,CLE,66,37,29,22.1,24.2,28.4,2,0.4,3.7,5.4,2.6,35.6,2.55,1.65
Darius Garland,CLE,68,37,31,35.7,59.9,77.6,8.6,1.1,15.6,22,10.9,85.6,5.39,4.96
Evan Mobley,CLE,69,40,29,33.8,41.6,32.7,2.5,0.2,5.3,6.7,3.1,59,2.04,0.79
Isaac Okoro,CLE,67,34,33,29.6,22.3,23,1.8,0.2,3.6,4.7,2.1,31.4,2.25,1.4
Jarrett Allen,CLE,56,35,21,32.3,35.7,26,1.6,0.5,3.3,4.3,2.3,50.3,1.67,0.33
Kevin Love,CLE,74,38,36,22.5,30.4,27.7,2.2,0.3,3.4,5.4,2.7,43.9,1.82,0.44
Lauri Markkanen,CLE,61,32,29,30.8,28.2,26,1.3,0.3,2.2,3.2,1.7,42.7,1.81,0.67
Dorian Finney-Smith,DAL,80,51,29,33,30.7,27.8,1.9,0.3,3.7,4.9,2.4,41.8,1.79,0.87
Dwight Powell,DAL,82,52,30,21.9,23.2,17.1,1.2,0.2,1.9,3,1.5,30.2,1.51,0.45
Jalen Brunson,DAL,79,50,29,31.9,49.8,56.2,4.8,0.8,10.1,12.8,5.9,67.8,4.78,4.26
Luka Doncic,DAL,65,44,21,35.4,56.1,70.4,8.7,1.3,17,22.6,10.8,90.5,6.19,5.37
Maxi Kleber,DAL,59,36,23,24.6,31.6,23.1,1.2,0.4,2.8,3.2,1.7,39.2,1.24,0.32
Reggie Bullock,DAL,68,44,24,28,26.7,21.8,1.2,0.2,2.1,3.1,1.5,35.3,1.44,0.39
Spencer Dinwiddie,DAL,67,38,29,29.6,45,51.6,5.2,0.6,9.9,13.2,6.1,61,5.14,4.29
Tim Hardaway Jr.,DAL,42,24,18,29.6,30.4,33,2.2,0.3,4,5.8,2.8,46.1,2.39,1.49
Aaron Gordon,DEN,75,46,29,31.7,26.9,30.4,2.5,0.5,4.4,6.1,3.2,42.3,2.77,1.89
Austin Rivers,DEN,67,41,26,22.1,18.5,19.2,1.3,0.2,2.7,3.4,1.5,25.3,2.74,1.79
Jeff Green,DEN,75,44,31,24.7,19.3,20.6,1.3,0.2,2.3,3,1.5,28.7,1.8,0.57
Monte Morris,DEN,75,44,31,29.9,47.3,50.4,4.4,0.7,7.7,11.2,5.5,60.6,4.02,3.45
Nikola Jokic,DEN,74,46,28,33.5,73.4,62.7,7.9,1,13.9,19.7,9.6,100.1,2.6,1.26
Will Barton,DEN,71,41,30,32.1,37.3,41.5,3.9,0.6,6.6,10,4.9,54.1,3.44,2.54
Cade Cunningham,DET,63,20,43,32.6,53.3,61.6,5.6,0.9,10.5,14.6,7.2,77,4.54,3.9
Cory Joseph,DET,65,19,46,24.6,42.1,43.5,3.6,0.5,8,9.6,4.5,51.9,4.34,4.21
Frank Jackson,DET,53,9,44,22,15.3,20.9,1,0.2,1.9,2.7,1.3,26.7,1.96,1.34
Hamidou Diallo,DET,57,14,43,21.8,24.8,21.9,1.3,0.3,2.8,3.3,1.6,36.9,2.36,1.59
Isaiah Stewart,DET,70,21,49,25.6,27.3,19.6,1.2,0.1,2.2,3.1,1.4,36.4,1.62,0.52
Jerami Grant,DET,47,11,36,31.9,38.6,43.8,2.4,0.6,5.3,6.2,3,59.7,2.39,1.39
Killian Hayes,DET,65,21,44,24.9,41.9,39.9,4.2,0.4,8.5,11.1,5.2,52.6,4.01,3.3
Marvin Bagley III,DET,48,17,31,23.9,23.6,17.7,0.8,0,1.1,2.1,0.8,35.2,1.68,0.59
Saddiq Bey,DET,81,23,58,33,32.4,35.7,2.9,0.5,5.5,7.3,3.6,50,2.31,1.37
Andrew Wiggins,GSW,72,47,25,31.9,28.5,34.4,2.2,0.5,4.7,6,3,46.9,2.96,2.15
Draymond Green,GSW,46,34,12,28.9,60.2,46.9,7,0.5,14.1,18.5,8.3,70.5,2.3,1.36
Jordan Poole,GSW,75,49,26,30,43.7,54.1,4,0.8,7.3,10.1,5.1,63.5,4.05,3.51
Kevon Looney,GSW,81,53,28,21.1,27.8,20.8,2,0.3,3.6,5.3,2.5,34.1,1.59,0.52
Klay Thompson,GSW,32,17,15,29.4,23,35.7,2.8,0.5,4.1,6.9,3.4,44.2,2.33,1.54
Otto Porter Jr.,GSW,62,41,21,22.1,26.5,19.8,1.5,0.3,3.4,4.4,2,34.9,1.77,0.67
Stephen Curry,GSW,64,45,19,34.5,50,64.4,6.3,1.3,10.7,15.8,8.2,76.9,4.36,4.06
Alperen Sengun,HOU,72,18,54,20.7,26.1,25.6,2.6,0.2,4.9,6.8,3.1,37.7,2.36,1.03
Christian Wood,HOU,68,19,49,30.8,38.4,32.6,2.3,0.4,4.5,6.2,3,56.8,2.4,1.18
Dennis Schroder,HOU,63,32,31,28.7,50.2,56.6,4.7,1,8.8,11.9,6,67.1,4.89,4.11
Eric Gordon,HOU,57,19,38,29.3,32.1,36.3,2.7,0.4,5.7,7.4,3.5,46.2,3.99,3.32
Garrison Mathews,HOU,65,19,46,26.3,18.4,17.9,1,0.2,2,2.5,1.2,27.7,1.6,0.62
Jae'Sean Tate,HOU,78,19,59,26.4,28.6,26.6,2.8,0.2,5.9,7.7,3.3,41.6,2.62,1.63
Jalen Green,HOU,67,12,55,31.9,29,38.4,2.6,0.4,5.1,6.9,3.4,48.6,3.87,3.32
Kenyon Martin Jr.,HOU,79,20,59,21,23.2,19.1,1.3,0.2,2.5,3.6,1.6,31.9,1.6,0.72
Kevin Porter Jr.,HOU,61,16,45,31.3,51.3,56,6.2,0.5,10.8,16.2,7.3,71.5,5.06,4.49
Buddy Hield,IND,80,25,55,30.9,36.8,39.2,2.8,0.5,5.2,7.2,3.7,54.2,2.54,1.87
Chris Duarte,IND,55,21,34,28,33.8,35,2.1,0.3,3.9,5.5,2.7,49.3,2.76,2.12
Duane Washington Jr.,IND,48,12,36,20.2,17.1,22.4,1.8,0.3,2.9,4.4,2.3,28.6,2.68,2.23
Malcolm Brogdon,IND,36,14,22,33.5,57.9,66.1,5.9,0.6,11.9,15.5,7.3,80,4.33,4.06
Myles Turner,IND,42,15,27,29.4,23.8,20.8,1,0.2,1.4,2.7,1.2,36.1,1.39,0.49
Oshae Brissett,IND,67,19,48,23.3,24.3,19.5,1.1,0.1,1.8,2.7,1.2,34.7,1.64,0.77
Ricky Rubio,IND,34,20,14,28.5,53.9,63.1,6.6,0.9,14,17.3,8.4,72.6,4.94,4.38
T.J. McConnell,IND,27,9,18,24.2,46.3,47.2,4.9,0.4,10.3,13,5.8,58,4.52,4.29
Terry Taylor,IND,33,7,26,21.6,17.6,14.4,1.2,0.1,2.1,3.3,1.5,26,1.54,0.73
Tyrese Haliburton,IND,76,25,51,35,63.4,65.5,8.2,0.7,15.6,20.7,9.6,81.3,4.41,3.74
Amir Coffey,LAC,68,33,35,22.7,20.2,20.4,1.8,0.3,3.2,4.8,2.2,29.1,2.75,1.66
Ivica Zubac,LAC,76,40,36,24.4,29.2,19.3,1.6,0.2,2.7,3.9,1.9,39.1,1.53,0.48
Luke Kennard,LAC,70,35,35,27.4,24.4,26.5,2.1,0.4,3.7,5.4,2.7,35.3,2.08,1.14
Marcus Morris Sr.,LAC,53,26,27,28.8,23.5,28.4,2.1,0.4,3.6,5.5,2.7,39.4,2.62,1.45
Nicolas Batum,LAC,58,31,27,24.9,27.6,20.4,1.7,0.2,3,4.2,2,35.6,1.45,0.56
Norman Powell,LAC,45,15,30,32.4,20.2,31.8,2.1,0.4,3.8,5.4,2.7,39.5,2.92,2.44
Paul George,LAC,31,18,13,34.8,45.7,58.7,5.7,0.8,10.4,15.1,7.2,75.4,4.18,3.44
Reggie Jackson,LAC,74,38,36,31.2,45.6,58.7,4.8,1,9.1,12.7,6.4,67.7,5.44,4.61
Robert Covington,LAC,71,34,37,27.3,32.6,18.9,1.3,0.3,2.5,3.6,1.8,41.7,1.65,0.47
Terance Mann,LAC,80,41,39,28.5,31.4,29.2,2.6,0.3,5,7,3,43.3,3.44,2.68
Anthony Davis,LAL,40,17,23,35.1,44.6,44.9,3.1,0.4,6,8.2,3.7,68.8,2.3,0.99
Austin Reaves,LAL,61,28,33,23.2,24.3,20.2,1.8,0.3,3.6,4.7,2.3,32.1,2.53,1.75
Avery Bradley,LAL,62,27,35,22.7,15.9,15.3,0.8,0.1,1.8,1.9,0.9,22.8,1.63,1.02
Carmelo Anthony,LAL,69,27,42,26,21.1,23.2,1,0.2,1.6,2.5,1.2,34,1.89,0.68
LeBron James,LAL,56,25,31,37.2,56.8,70.1,6.2,0.9,12.4,16.4,7.9,87.4,4.28,3.07
Malik Monk,LAL,76,32,44,28.1,31,32.1,2.9,0.4,5.6,7.3,3.6,45.3,2.7,2.1
Russell Westbrook,LAL,78,31,47,34.3,54.2,60,7.1,0.6,13.8,18.2,8.6,78.9,4.89,4.29
Stanley Johnson,LAL,48,16,32,22.8,23.4,17.9,1.7,0.2,3,4.2,1.9,31,1.89,1.09
Talen Horton-Tucker,LAL,60,23,37,25.2,30.7,30.4,2.7,0.3,5.1,6.8,3.2,43.3,3.5,2.69
De'Anthony Melton,MEM,72,48,24,22.7,30.2,28.2,2.6,0.5,4.8,6.2,3.2,43.1,3.05,2.16
Desmond Bane,MEM,76,53,23,29.8,39.9,40.3,2.7,0.6,5.1,7.3,3.6,57.7,2.74,1.75
Dillon Brooks,MEM,31,21,10,27.8,24.2,34.5,2.7,0.3,4.4,6.6,3.3,45,3.1,2.15
Ja Morant,MEM,56,35,21,33.3,47.6,65.2,6.8,0.9,12.7,16.9,8.3,77.8,5.82,4.9
Jaren Jackson Jr.,MEM,77,52,25,27.3,19.4,24.9,1.1,0.2,2.1,2.9,1.5,36.8,1.97,1.04
Kyle Anderson,MEM,69,46,23,21.5,24.8,19.8,2.7,0.2,4.7,6.8,3.1,33.9,2.57,1.5
Steven Adams,MEM,75,50,25,26.4,30.5,19.9,3.4,0.1,4.9,7.7,3.6,38.6,1.86,0.44
