Player,Team,TPG
Nikola Jokic,DEN,100.1
James Harden,PHI,91.3
Luka Doncic,DAL,90.5
Dejounte Murray,SAS,87.5
LeBron James,LAL,87.4
LaMelo Ball,CHA,86.9
Fred VanVleet,TOR,86.2
Darius Garland,CLE,85.6
Trae Young,ATL,82.9
De'Aaron Fox,SAC,82.8
Damian Lillard,POR,82.1
Kyle Lowry,MIA,81.4
Tyrese Haliburton,IND,81.3
Kyrie Irving,BKN,81
Malcolm Brogdon,IND,80
Russell Westbrook,LAL,78.9
Domantas Sabonis,SAC,78.6
Tyrese Maxey,PHI,78.6
Shai Gilgeous-Alexander,OKC,78.3
Josh Giddey,OKC,78.2
Ja Morant,MEM,77.8
Pascal Siakam,TOR,77.6
Cade Cunningham,DET,77
Stephen Curry,GSW,76.9
Julius Randle,NYK,76.5
Cole Anthony,ORL,76.2
D'Angelo Russell,MIN,76.2
Joel Embiid,PHI,76.1
Paul George,LAC,75.4
Chris Paul,PHX,75